V1
E0
M: 77.6, 94.26, 84.34, 68.26, 75.95, 90, 90, 89.89
M: 76.81, 93.84, 84.57, 68.17, 76.29, 90, 90, 89.76
M: 76.04, 93.43, 84.81, 68.1, 76.66, 90, 90, 89.57
M: 75.29, 93.02, 85.07, 68.04, 77.09, 90, 90, 89.33
M: 74.57, 92.61, 85.33, 67.99, 77.54, 90, 90, 89.05
M: 73.88, 92.21, 85.6, 67.96, 78.04, 90, 90, 88.71
M: 73.22, 91.81, 85.88, 67.96, 78.57, 90, 90, 88.34
M: 72.59, 91.41, 86.17, 67.98, 79.12, 90, 90, 87.91
M: 71.99, 91.02, 86.47, 68.02, 79.7, 90, 90, 87.46
M: 71.43, 90.63, 86.77, 68.1, 80.3, 90, 90, 86.96
M: 70.92, 90.25, 87.09, 68.2, 80.92, 90, 90, 86.43
M: 70.44, 89.87, 87.41, 68.34, 81.55, 90, 90, 85.88
M: 70.01, 89.5, 87.74, 68.52, 82.18, 90, 90, 85.3
M: 69.62, 89.14, 88.08, 68.73, 82.82, 90, 90, 84.7
M: 69.27, 88.78, 88.42, 68.99, 83.45, 90, 90, 84.08
M: 68.97, 88.43, 88.77, 69.28, 84.08, 90, 90, 83.45
M: 68.71, 88.08, 89.13, 69.62, 84.7, 90, 90, 82.82
M: 68.49, 87.75, 89.5, 70, 85.3, 90, 90, 82.18
M: 68.31, 87.42, 89.87, 70.42, 85.88, 90, 90, 81.55
M: 68.16, 87.09, 90.24, 70.89, 86.43, 90, 90, 80.92
M: 68.05, 86.78, 90.63, 71.4, 86.96, 90, 90, 80.3
M: 67.98, 86.47, 91.01, 71.95, 87.46, 90, 90, 79.7
